,n_lv,gamma,q2_validation,q2_train_cv,rmse_val,mae_val,method_name
0,1,0.00066940108373409,0.5756863830018213,0.5394790327764607,60.76218653508897,46.224779991611086,RBF
1,2,0.0004996866006833863,0.581608525194014,0.5484568854802785,60.336667870953995,44.577679292313896,RBF
2,3,0.03915579005471529,0.49489481298638394,0.49808487602352663,66.29500735966337,49.92678006805036,RBF
3,4,0.010407395345203513,0.647188034015704,0.5626544428545168,55.40660783291218,39.487692923516796,RBF
4,5,0.004337899300681751,0.6684658687545424,0.6046249850414583,53.70986140063319,38.17645950090383,RBF
5,6,0.0015364711852409096,0.6698070898724474,0.6158409970213374,53.601109695295214,38.50212115223125,RBF
6,7,0.008553334809252277,0.6702537564727732,0.6141084885822178,53.56484312660131,38.22104686808222,RBF
7,8,0.012301830677138016,0.6688740087534284,0.614286036826844,53.676791059681264,38.21831144680296,RBF
8,9,0.008094192017828742,0.6802624519535769,0.6179651562646492,52.745659767948275,37.2243833665459,RBF
9,10,0.006790681236118846,0.6846930101919875,0.621792131599427,52.378940346530214,36.596207660262635,RBF
10,11,0.002148897252288797,0.6839745046284403,0.6208932742577762,52.43858562197539,36.793678345898435,RBF
11,12,0.005661856725379861,0.6821612420023941,0.6202260664448077,52.58880914242044,36.734479795406415,RBF
12,13,0.004567711914679218,0.6791618598229188,0.6181643949884141,52.83636163955631,36.916931977466625,RBF
13,14,0.003636223090080921,0.6868552528646326,0.6143996657841546,52.19903501979023,36.50959995100377,RBF
14,15,0.0034822307526683814,0.685085886586455,0.6096355473493,52.34629777255973,36.70467423995473,RBF
15,16,0.0009921827530931264,0.6876003994877029,0.6113514097920203,52.13689266964803,37.256078687398784,RBF
16,17,0.013368766738842268,0.6938343653691086,0.6025646516028219,51.61407279067509,35.37617875369936,RBF
17,18,0.012447182264562262,0.6934731838422454,0.5968809420309498,51.644508203366435,35.58709353326326,RBF
18,19,0.00043730322404093283,0.6904185216724147,0.6119431715697352,51.901199358455955,37.17742345128183,RBF
19,20,0.00066940108373409,0.6930446159327102,0.6105959115241255,51.68059876188708,37.12411235982811,RBF
20,2,0.001943241587610851,0.5619035786585453,0.5483519231417009,61.74115672545928,46.30153411588456,Polynomial
21,3,0.005193759836090057,0.5991416239041363,0.5575471382508921,59.05890497675162,43.2074751729479,Polynomial
22,4,0.0038000557871437587,0.6334910378752463,0.5904718419362566,56.471875100285544,40.92225252850728,Polynomial
23,5,0.002730529646850684,0.6448572568700489,0.607105962814342,55.58932254296839,39.67561681265426,Polynomial
24,6,0.0034667223974464896,0.6507380739734413,0.6048660894924309,55.12714881476964,39.13915873704426,Polynomial
25,7,0.0036016313151723475,0.6777781495252134,0.6172675607859016,52.950175352240464,37.0962692992864,Polynomial
26,8,0.0041550317022277655,0.683783576967,0.6207693835548098,52.45442368715459,36.466036984971794,Polynomial
27,9,0.0038000557871437587,0.6802388244391107,0.6174723058170591,52.74760859414069,37.03205219672841,Polynomial
28,10,0.060458084655129515,0.6226511793434601,0.576181248804013,57.30089527403573,42.20889432556566,Polynomial
29,11,9.999338996493444,0.4399987515415905,0.3346598575586934,69.80465846921773,53.069902633940245,Polynomial
30,12,9.999338996493444,0.44518698508324384,0.35305602440781647,69.48054704018364,52.56262916663882,Polynomial
31,13,9.999338996493444,0.45091411237631596,0.34600844047443285,69.12100592796243,52.4829238716159,Polynomial
32,14,0.022713856912487573,0.6696577272051163,0.591677547165379,53.61323154784974,38.06628442510031,Polynomial
33,15,9.999338996493444,0.46438451436660166,0.3809511585346023,68.26788863549088,52.05412846813307,Polynomial
34,16,9.999454172273257,0.4683822688577721,0.3803633292640118,68.01264076599439,52.01398187926573,Polynomial
35,17,9.999415543818916,0.4743911240687485,0.3556616869631829,67.62717628832101,51.56890138206691,Polynomial
36,18,9.999544023679087,0.47858405321250885,0.2898759916361515,67.35689572459273,51.41036751287163,Polynomial
37,1,0.0004988284833459791,0.578373547382075,0.5373120426965784,60.56947846830383,45.816255488008245,Cauchy
38,2,0.0004988284833459791,0.5825101853488079,0.5475831596155889,60.271618133130154,44.248070864314585,Cauchy
39,3,0.34721688002868195,0.5204970404630317,0.5033294074158158,64.59301477005238,47.352738493327806,Cauchy
40,4,0.017646584405060207,0.6463914272535556,0.5940992675670668,55.469123275481856,39.23574494809279,Cauchy
41,5,9.04188271564775,0.6067007132474989,0.5475269326709002,58.499410320775965,41.80868203193735,Cauchy
42,6,0.003631580936212186,0.6788070256623555,0.6134543395811912,52.86557101785635,37.59980226029722,Cauchy
43,7,0.006331639182449089,0.6691450461002693,0.6186135717546579,53.654818466579734,38.5967907903217,Cauchy
44,8,2.679126309032057,0.6417441112350792,0.5462086758291047,55.83243613861848,39.75971346481214,Cauchy
45,9,0.005169726766670562,0.6810924346067462,0.6190640963664071,52.677156037573525,36.9925576585536,Cauchy
46,10,5.926871568334378,0.6263170393377867,0.5437733866090769,57.021883248907706,39.697908560919956,Cauchy
47,11,4.141985146145223,0.6149977153245842,0.5495724278031198,57.87907240590317,39.586445308439316,Cauchy
48,12,4.848820109675951,0.632008228905079,0.5480108568715991,56.58599574596128,39.016146298291844,Cauchy
49,13,3.00980117944752,0.6382528463417501,0.5518124749112139,56.103824877647064,38.79013206338717,Cauchy
50,14,4.412890098834255,0.6514308336896142,0.5538351322100116,55.07244943117193,38.401860878240456,Cauchy
51,15,3.799919876184981,0.6523663735678022,0.552493842931324,54.99849410905043,37.92246681197034,Cauchy
52,16,2.3574463223331685,0.6315054429407552,0.5567142071741092,56.62463918217329,38.62962709092363,Cauchy
53,17,3.338260449146531,0.6450960924202354,0.5544360456953321,55.57062732870978,37.95937174785339,Cauchy
54,18,3.8467518065520325,0.6500952885009554,0.5530816263040227,55.17785380010502,36.75130001140793,Cauchy
55,19,3.5617769214053436,0.6468191246602182,0.5527581023523057,55.43556755876362,37.048239258061564,Cauchy
56,20,2.48926359551207,0.6636438723753568,0.5558570242387928,54.099042791768966,36.345803398486915,Cauchy
